borough,neighborhood,address,residential_unit,commercial_unit,total_unit,land_sq_ft,gross_sq_ft,year_built,price,sale_date
3,Greenpoint,151 MC GUINNESS BLVD,2,0,2,2500,4012,1899,2700000,7/20/2017 0:00
3,Bushwick,324 CENTRAL AVE,6,1,7,2500,4500,1931,2700000,5/4/2017 0:00
3,Park Slope South,392 15TH   STREET,6,0,6,2500,4755,1907,2700000,10/7/2016 0:00
4,Astoria,25-28 BROADWAY,3,2,5,2393,5140,1931,2700000,12/30/2016 0:00
3,Carroll Gardens,40 4TH PLACE,4,0,4,2100,2772,1920,2700000,12/12/2016 0:00
3,Bedford Stuyvesant,44 MADISON STREET,2,0,2,2000,1920,1905,2700000,12/21/2016 0:00
4,Flushing-North,40-21 159TH   STREET,0,6,6,2000,2838,2009,2700000,4/10/2017 0:00
3,Park Slope,585 10TH   STREET,3,0,3,2000,3300,1901,2700000,4/20/2017 0:00
3,Cobble Hill,82 AMITY STREET,2,2,4,1481,3840,1900,2700000,4/19/2017 0:00
3,Park Slope,380 6TH AVENUE,3,0,3,1261,2752,1899,2700000,6/21/2017 0:00
1,Harlem,175 WEST 126 ST,3,0,3,1699,2646,1910,2390000,8/11/2017 0:00
3,Borough Park,1510 56TH   STREET,3,0,3,3008,5440,1970,2700500,7/12/2017 0:00
3,Borough Park,5904 11TH   AVENUE,3,0,3,6017,3150,1960,2705000,10/10/2016 0:00
3,Ocean Parkway-North,1653 OCEAN PARKWAY,2,0,2,5600,3450,1930,2717000,11/14/2016 0:00
3,Bedford Stuyvesant,1126 FULTON STREET,6,1,7,2340,6000,1930,2720000,5/16/2017 0:00
5,Port Ivory,250 ARLINGTON AVENUE,0,1,1,18540,20400,1989,2725000,1/3/2017 0:00
3,Red Hook,125 KING STREET,1,0,1,1680,0,2016,2725000,8/17/2017 0:00
4,Flushing-North,132-46A 41ST   AVENUE,4,1,5,2117,4900,2003,2730000,3/20/2017 0:00
2,Melrose,271 EAST 150 STREET,17,3,20,3049,10587,1910,2738650,1/13/2017 0:00
5,Todt Hill,81 COPPERFLAGG LANE,1,0,1,28600,6660,1985,2740000,12/5/2016 0:00
3,Williamsburg-East,512 LORIMER STREET,2,0,2,1540,2400,1899,2745000,6/12/2017 0:00
3,Prospect Heights,889 PACIFIC STREET,2,0,2,2000,2196,1920,2749000,11/28/2016 0:00
3,Flatbush-Central,1305 ALBEMARLE ROAD,1,0,1,13000,7202,1905,2750000,1/20/2017 0:00
4,Richmond Hill,130-11 90TH   AVENUE,0,1,1,10000,10000,1931,2750000,4/21/2017 0:00
2,Parkchester,1447 BEACH AVENUE,0,1,1,7268,5775,1930,2750000,12/28/2016 0:00
4,Astoria,23-52 48TH   STREET,0,1,1,4859,5384,1963,2750000,1/10/2017 0:00
