borough,neighborhood,address,residential_unit,commercial_unit,total_unit,land_sq_ft,gross_sq_ft,year_built,price,sale_date
4,Laurelton,219-14 MERRICK BOULEVARD,0,1,1,41322,13905,1999,0,12/14/2016 0:00
2,Highbridge/Morris Heights,1535 UNDERCLIFF AVENUE,146,0,146,41234,171000,1930,0,2/28/2017 0:00
2,City Island,N/A DITMARS STREET,0,0,0,41000,0,0,0,10/24/2016 0:00
2,Mott Haven/Port Morris,682 EAST 137 STREET,0,11,11,40934,40900,1931,0,12/6/2016 0:00
3,Cobble Hill-West,215 COLUMBIA STREET,2,1,3,1995,3303,1931,25000,2/28/2017 0:00
4,Ozone Park,90-07 107TH AVENUE,1,0,1,1980,1560,1920,25000,2/16/2017 0:00
3,Cypress Hills,2 CYPRESS COURT,2,0,2,1964,2400,1935,25000,11/21/2016 0:00
2,Melrose/Concourse,1240 WALTON AVENUE,162,1,163,40046,171044,1928,1,6/21/2017 0:00
4,Springfield Gardens,174-55 128TH   AVENUE,1,0,1,1904,1122,1925,25000,1/12/2017 0:00
3,Bedford Stuyvesant,523 PARK AVENUE,2,2,4,1900,4175,1931,25000,7/19/2017 0:00
3,Gowanus,306 BOND STREET,11,2,13,1875,9100,2005,25000,2/28/2017 0:00
3,Marine Park,2275 COLEMAN STREET,0,2,2,40000,44000,1984,0,12/15/2016 0:00
3,Boerum Hill,206A BERGEN STREET,4,0,4,1800,2268,1899,25000,11/8/2016 0:00
2,Baychester,3740-3780 MERRITT AVENUE,0,2,2,39800,30000,1984,0,7/13/2017 0:00
3,Bedford Stuyvesant,277 JEFFERSON AVENUE,2,0,2,1800,3240,1915,25000,1/25/2017 0:00
2,Bedford Park/Norwood,2680 BRIGGS AVENUE,3,0,3,1792,2523,1915,25000,11/21/2016 0:00
2,Morrisania/Longwood,1125 WHITLOCK,0,12,12,39760,17992,1930,0,6/15/2017 0:00
2,Morrisania/Longwood,1125 WHITLOCK AVENUE,0,12,12,39760,17992,1930,0,9/8/2016 0:00
4,Forest Hills,105-33 66TH AVENUE,120,0,120,39212,109800,1949,0,6/28/2017 0:00
3,Bushwick,1610 BUSHWICK AVENUE,0,1,1,39157,3736,2005,0,12/31/2016 0:00
4,Forest Hills,66-36 YELLOWSTONE BOULEVAR,244,0,244,39053,272000,1964,0,11/28/2016 0:00
4,Maspeth,56-36 56TH   DRIVE,1,3,4,39000,19300,1958,0,3/10/2017 0:00
2,Morrisania/Longwood,579 EAST 168TH STREET,4,0,4,1746,5136,1910,25000,3/13/2017 0:00
4,Ozone Park,135-03 HAWTREE STREET,2,0,2,1674,1280,1930,25000,10/31/2016 0:00
5,Stapleton,595 BAY STREET,2,1,3,1660,4820,1910,25000,2/28/2017 0:00
3,Red Hook,281 VAN BRUNT STREET,2,1,3,1575,1836,1925,25000,2/28/2017 0:00
5,West New Brighton,151 ST AUSTINS PLACE N,0,1,1,38376,12580,2004,0,8/1/2017 0:00
3,Red Hook,279 VAN BRUNT STREET,2,1,3,1575,1836,1925,25000,2/28/2017 0:00
3,Gowanus,305 BOND STREET,3,1,4,1500,4000,1900,25000,2/28/2017 0:00
3,Gowanus,217 BOND STREET,0,1,1,1250,3750,2006,25000,2/28/2017 0:00
3,Gowanus,N/A GOWANUS CANAL,0,0,0,37500,0,0,0,10/6/2016 0:00
4,Hollis,102-01 185TH   STREET,30,0,30,37500,21000,1949,0,10/7/2016 0:00
4,Long Island City,34-06 34TH   STREET,0,2,2,37400,20100,1942,1,12/1/2016 0:00
